URL,HTTP Status,Redirect,Title,Meta Description,H1,Canonical,대표지역명,작업명,키워드수,핵심단어포함,FAQ일치,Alt일치,CTA여부,브랜드Ok,Query여부,Soft404,카테고리
"/sitemap-seoul",200,"N","서울·인천·경기 종합청소 지역별 키워드 허브 | 모두종합환경","외벽청소, 유리창청소, 화재청소, 바닥왁스코팅, 어닝청소, 간판청소, 인테리어 후 청소, 준공청소, 후드청소, 쓰레기집 청소, 특수청소, 바닥청소 키워드를 지역별로 정리했습니다.","서울·인천·경기 종합청소 지역별 키워드 허브","https://www.moduclean.co.kr/sitemap-seoul","","",0,"N","N/A","N/A","Y","Y","N","N","정상"
"/move-in-cleaning/seoul",200,"N","수도권 입주·이사청소 지역별 키워드 통합 허브 | 모두종합환경","서울·인천·경기 입주청소와 이사청소 키워드를 한 곳에서 관리하는 통합 허브입니다. 각 지역별 링크는 해당 지역의 입주청소 또는 이사청소 전용 페이지로 연결됩니다.","수도권 입주·이사청소 지역별 안내","https://www.moduclean.co.kr","","",0,"N","N/A","N/A","Y","Y","N","N","정상"
"/seoul/yangcheon/mok-dong/exterior-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/window-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/fire-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/floor-wax-coating",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/awning-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/signboard-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/interior-post-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/completion-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/hood-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/hoarder-house-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/special-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/floor-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/move-in-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/moving-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/office-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/store-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/factory-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/building-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/flood-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/warehouse-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/mok-dong/hospital-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/sinjeong-dong/exterior-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/sinjeong-dong/window-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
"/seoul/yangcheon/sinjeong-dong/fire-cleaning",404,"N","","","","","","",0,"N","N/A","N/A","N","N","N","N","404"
